职位,企业名称,地区,薪资,要求
中级大数据开发工程师,上海伍贤信息技术股份有限公司,杭州,1-2.5万,岗位描述：负责围绕数据（数据、大数据）平台展开的服务系统的设计、开发等工作，组织概要设计、详细设计和编码实现等工作，包括机器学习，数据分析等数据平台范围的设计开发工作。职责范围：1.根据用户需求和内部研发目标，进行大数据平台的 开发建设；2.配合业务需求组、测试组完成业务需求的开发测试工作；3.协同相关组完成所开发代码的集成测试，联调，优化、等工作；任职条件：1.本科及以上学历，大数据相关工作经验2.具有基于支付、清算业务领域知识者3.熟悉ETL、数据仓库、OLAP等工具、原理与技术架构4.精通Hadoop、Hive、Spark、Kafka等大数据平台技术5.精通至少一种主流关系数据库，精通SQL编程；6.具备良好的学习能力、沟通表达与组织协调能力强和团队精神，良好的分析能力与沟通技巧；7.了解敏捷开发知识，熟悉敏捷开发流程及关键内容;
AI与大数据分析工程师,北京移动,北京,45-80万/年,岗位职责：1. 对应的入职工作团队为网络优化数智化转型团队，负责移动通信行业的数据挖掘、数学建模和智能化分析工作，通过机器学习、深度学习等人工智能技术，进行用户满意度分析等用户感知评估，进行网络质量波动分析、网络容量预测等网络趋势预测，对网络问题进行智能化定位分析等工作；负责人工智能团队建设，指导搭建人工智能平台，明确团队阶段性目标方向；2. 攻关项目为无线网自智网络能力提升和无线网基站全生命周期智能化应用(1)无线网自智网络能力提升   根据自智网络L4评级需求，参与业务分析、算法选择、特征构建、变量筛选、模型开发、算法实现等过程，解决目前网络面临的业务问题，实现网络质量和自智能力提升；(2)无线网基站全生命周期智能化应用   牵头人工智能数据挖掘项目相关的技术方案、分析报告等，负责数据分析、数据挖掘前瞻技术在理论及互联网应用的跟踪与研究。任职要求：1.硕士研究生及以上学历，计算机科学与技术、软件工程或其它相关专业；2.具有大数据或人工智能领域3-5年相关工作经验，其中具备相关算法开发和项目管理工作经验者优先；3.有良好数学背景，具备优秀的代码编写能力，掌握扎实的人工智能、数据挖掘理论基础，精通各种机器学习、深度学习的算法与模型，并有较丰富的机器学习、深度学习建模的项目研发经验。熟悉hadoop数据平台架构下的海量数据处理、数据分析挖掘等工作； 4.熟练使用Python，Java、C++语言进行数据挖掘及数学建模；熟练掌握Hbase、Hive等数据库技术；熟悉Hadoop、Spark、Storm等大数据平台；5.有责任心，工作热情、耐心、踏实、严谨，有团队合作精神；具备有很好的学习和逻辑思维能力，强烈的探索和求知欲，能迅速进行机器学习研究或探索新框架使用； 具备一定的抗压能力；6.认同公司核心价值观，具有良好的思想品质和道德素质。
中高级数据开发工程师,成都高伟达信息技术有限公司,成都,1-2.5万,1、3年以上数据ETL实际开发经验；2、熟练掌握SQL开发，至少使用过一种Oracle、mysql、Greenplum等数据库技术；3、熟悉linux操作系统常用命令，熟悉Shell编程，有批量流程调度基础；4、了解Spark、Hbase、Hive、Kafka等开源分布式大数据系统原理与技术；5、认真负责，主动积极，有团队精神；岗位职责：1. 参与银行系统的数据ETL开发工作，包括但不限于需求分析、设计、编码、测试、上线及运行维护等。
大数据开发工程师,无锡大数据集团有限公司,无锡,1万以下,"岗位描述：  1．负责公司大数据平台的开发，管理以及维护工作。  2．负责公司数据需求，包含数据接入，处理，调度及性能调优相关工作。  3．参与设计公司大数据架构设计及实现。岗位要求：  1．本科以上学历，计算机相关专业。  2．熟悉使用mysql, tidb等数据库,精通Sql,具有sql调优能力。  3．具有大型数据仓库架构设计，数仓建模，ETL处理的相关知识或经验。  4．熟悉 Hadoop 生态圈 Hadoop,Hive,Hbase,Hdfs 等核心组件，以及大数据相关基础组件如Kafka,Flume,Spark。  5．熟悉Python语言。  6．具有较强的责任心，较高的数据敏感度，良好的学习能力，以及分析和解决问题的能力。"
数据工程师,上海意臣信息科技有限公司,上海,1-2.5万,岗位职责：1、参与业务分析、负责数据流程分析；2、参与数据仓库、数据集市模型设计；3、负责ETL开发、测试、优化工作；4、负责ETL开发的高质量交付。任职要求：1.3年以上相关工作经验，掌握业务系统关键数据实体关系，具备独立进行数据探查和分析能力优先；2.有数据处理、使用ETL工具开发数据转换经验；3.熟练掌握SQL；有hive相关项目经验优先。4.熟悉ETL工具的设计和优化。熟悉Kettle或者ssis相关知识的优先6.对数字，数据敏感，具备良好的逻辑思维能力；7.良好的沟通能力，做事认真负责，具有强烈的责任心。8.有带团队经验优先。9.学历学信网可查
技术总监,深圳前海优管信息技术有限公司,深圳,4-8万,任职资格：1、计算机\遥感\测绘\空间信息技术等相关专业；2、本科以上学历；3、精通底层架构，算法；4、有物联网项目经验；
大数据开发工程师,海隆软件（昆山）有限公司,上海,2.5-4万,"1.??参与产品和项目研发工作，配合其他团队完成产品功能和界面开发；2.??熟悉JVM内存模型与结构、监控调优，分析JVM相应日志信息，进行优化调优；3.??熟悉搭建和调优大数据基础平台，包括Hadoop/HBase/Hive/Sqoop/Kafka/Flume/Spark/Storm等大数据组件的环境搭建；4.??维护线上系统的稳定性、可靠性，通过分析现象快速定位问题，进而提出优化方案，改进要求；5.??完成大数据开发经理安排的其他工作；6.??具体工作地点：北京、上海、南京、昆山；7.??具体薪资可根据面试结果浮动。岗位要求：1.??计算类相关专业，本科及以上学历；2.??具备3年以上大数据处理相关工作经验；?3.??精通大数据处理技术（如?Hadoop,Storm,Spark等）；4.??精通大数据平台上流处理中间件技术（Flume、Kafka、RocketMQ等）；5.??熟悉?RDBMS（Oracle,MySQL,PostgreSQL）,NoSQL（HBase,Redis）等主流数据库,精通?Java编程；?6.??具有丰富的分布式运算相关开发经验，有Hadoop、Hive、Mapreduce、Storm、Spark、Sparkstreaming等相关开发经验。"
大数据开发工程师,亚信科技（中国）有限公司,北京,1-2.5万,职位描述：1、基于数据治理产品能力，数据治理项目实施和金融域数据产品设计开发；2、数据平台开发和调优，为产品迭代提供数据化分析的方法论以及数据支撑；3、提供面向业务的数据服务，完成数据指标的统计，多维分析和展现；4、配合项目发展，规范数据生产到使用全过程，加速数据生产效率，提升数据服务质量。?任职要求：?1、大学本科以上学历，计算机软件及数据分析相关专业；2、有数据仓库设计经验，对实施收集，清洗和规约等工作有深刻的理解；对数据治理有一定理解或有相关经验为佳；3、熟悉金融业务，具备金融数仓工作经验优先；有银行数据治理项目经验的优先；4、熟练使用java、python、kafka、hadoop、spark、hive、storm、flink等相关技术；5、精通SQL语言，熟练使用mysql/Oracle，Hive、HBase；熟悉shell或python、perl等脚本语言，具备良好的应用开发技术能力和开发规范意识；6、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题；7、具备良好的沟通、理解及表达能力。
初级应用开发岗,江苏常熟农村商业银行股份有限公司,苏州,1万以下,工作职责:1、参与并协助设计、开发银行业相关系统，协助设计应用API； 2、按照需求文档、设计文档和相关开发标准完成编码和单元测试工作； 3、协助测试人员完成测试工作，及时修复相关缺陷；4、完成上级分配的其他工作任务。任职资格:1、1987年1月1日以后出生；2、***本科及以上学历，软件工程、网络工程、大数据发掘、计算机科学与技术、数学及统计学等相关专业；3、具备金融IT行业工作经验者优先；4、熟练掌握Java/Python等至少一门主流程序语言，了解Spring、Mybatis、SpringBoot等开发框架，了解H5、css、js、jquery、vue等前端开发技术或开发框架； 5、熟悉常见的数据库SQL操作，了解Linux、Tomcat、Mysql等相关技术； 6、熟悉面向对象分析和设计，了解基本的设计模式及其应用； 7、符合报考单位履职回避原则及银行业监管部门规定的其他条件； 8、特别优秀者可适当放宽条件。
数据开发工程师ETL,浩鲸云计算科技股份有限公司,南京,1-2.5万,"1、精通SQL，熟悉mapReduce原理，有hive调优经验，具备一定的python和java开发能力，有Hadoop,Hbase,Hive,Spark,Kafka等大数据开发相关经验优先；2、具备较好的业务敏感度，能够深入业务，并具备较强数据处理和分析能力；3、熟悉数据仓库理论，数据ETL流程，有较好数据处理能力，包括数据采集、清洗、整合等；4、了解数据治理体系，主导或参与过数据资产目录，数据标准制定，数据质量治理，元数据体系建设，主数据体系建设等至少其中一个数据治理项目；5、具有良好的沟通、表达能力，有较强的独立工作能力和解决问题的能力；6、逻辑思维能力强，谦虚好学，工作踏实，有责任感。"
